Unnamed: 0,recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
834,Grilled Avocados,10 mins,5 mins,15 mins,8,8 servings,"['¼ cup olive oil', 'or as needed', '1 pinch ground chipotle pepper', 'or more to taste', '1 pinch chili powder', 'or more to taste', '4  avocados', 'halved and pitted']","['Preheat grill for medium heat and lightly oil the grate', 'Whisk olive oil, ground chipotle pepper, and chili powder together in a bowl; brush over the entire surface of the cut-side of each avocado', 'Grill avocados, cut-side down, on the preheated grill until grill-lines begin to form on the avocado flesh, about 5 minutes']",3.9,https://www.allrecipes.com/recipe/238173/grilled-avocados/,/BBQ & Grilling/Side Dishes/,"{'Total': 'Sugars 1g', 'Saturated': 'Fat 3g 16%', 'Sodium': '8mg 0%', 'Dietary': 'Fiber 7g 24%', 'Protein': '2g', 'Vitamin': 'C 10mg 51%', 'Calcium': '13mg 1%', 'Iron': '1mg 3%', 'Potassium': '490mg 10%'}","Prep Time: 10 mins, Cook Time: 5 mins, Total Time: 15 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/SpE_rrZ6fLhw23TehE6KolYEvp0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1228914-e30b1b42b9794c3185c3988657506454.jpg
940,Nanaimo Bars,30 mins,,30 mins,16,1 8x8-inch pan,"['1 cup butter', 'softened', 'divided', '5 tablespoons unsweetened cocoa powder', '¼ cup white sugar', '1  egg', 'beaten', '1 ¾ cups graham cracker crumbs', '1 cup flaked coconut', '½ cup finely chopped almonds (Optional)', '3 tablespoons heavy cream', '2 tablespoons custard powder', ""2 cups confectioners' sugar"", '4 (1 ounce) squares semisweet baking chocolate', '2 teaspoons butter']","['In the top of a double boiler, combine 1/2 cup softened butter, cocoa powder, and sugar', 'Stir occasionally until melted and smooth', 'Beat in egg and stir until thick, 2 to 3 minutes', 'Remove from the heat and mix in graham cracker crumbs, coconut, and almonds', 'Press into the bottom of an ungreased 8x8-inch pan', 'For the middle layer, beat remaining 1/2 cup softened butter, heavy cream, and custard powder until light and fluffy', ""Mix in confectioners' sugar until smooth"", 'Spread over the bottom layer in the pan', 'Chill to set', 'While the second layer is chilling, melt semisweet chocolate and 2 teaspoons butter together in the microwave or over low heat', 'Spread melted chocolate mixture over chilled bars', 'Let the chocolate set before cutting into squares', 'Katie S']",4.6,https://www.allrecipes.com/recipe/25095/nanaimo-bars-iii/,/Desserts/Cookies/No-Bake Cookie Recipes/,"{'Total': 'Sugars 26g', 'Saturated': 'Fat 11g 56%', 'Cholesterol': '47mg 16%', 'Sodium': '160mg 7%', 'Dietary': 'Fiber 2g 8%', 'Protein': '3g', 'Calcium': '19mg 1%', 'Iron': '1mg 7%', 'Potassium': '87mg 2%'}","Prep Time: 30 mins, Total Time: 30 mins, Servings: 16, Yield: 1 8x8-inch pan",https://www.allrecipes.com/thmb/5sEqdE-X3SO53u3ljFRdNWH21dY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1100995-nanaimo-bars-Katie-S-1x1-1-a9a06039259843cda9d60bb81962081b.jpg
1084,Paleo Almond Date Cookies,25 mins,15 mins,50 mins,24,2 dozen,"['2 ½ cups blanched almond flour', '1 cup pitted and chopped dates', '½ cup chopped dried cherries', '½ cup chopped walnuts', '2 tablespoons chia seeds', 'or more to taste', '½ teaspoon baking soda', '½ teaspoon sea salt', '½ cup coconut oil', '1  egg', '2 tablespoons maple syrup', '1 tablespoon vanilla extract']","['Preheat oven to 350 degrees F (175 degrees C)', 'Line 2 baking sheets with parchment paper', 'Combine almond flour, dates, cherries, walnuts, chia seeds, baking soda, and sea salt in a large bowl; whisk to blend', 'Add coconut oil, egg, maple syrup, and vanilla extract; blend well with a spoon or fork until dough comes together', 'Scoop dough onto prepared baking sheets with a small cookie scoop', 'Bake in the preheated oven until edges are golden, about 15 minutes', 'Turn off oven and let cookies sit with oven door closed, about 10 minutes more', 'Remove from oven and let cool']",4.6,https://www.allrecipes.com/recipe/246422/paleo-almond-date-cookies/,/Desserts/Nut Dessert Recipes/Almond Dessert Recipes/,"{'Total': 'Sugars 8g', 'Saturated': 'Fat 5g 24%', 'Cholesterol': '8mg 3%', 'Sodium': '67mg 3%', 'Dietary': 'Fiber 3g 9%', 'Protein': '4g', 'Vitamin': 'C 0mg 1%', 'Calcium': '13mg 1%', 'Iron': '1mg 4%', 'Potassium': '68mg 1%'}","Prep Time: 25 mins, Cook Time: 15 mins, Additional Time: 10 mins, Total Time: 50 mins, Servings: 24, Yield: 2 dozen",https://www.allrecipes.com/thmb/6ASjAVDl6LPVmUQCs7Dv_SbL93M=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8580052-paleo-almond-date-cookies-Katy-Freund-4x3-1-520e76f55341426881a8f86e1d35e831.jpg
1005,Crustless Cranberry Pie,15 mins,40 mins,55 mins,8,1 9-inch pie,"['1 cup all-purpose flour', '1 cup white sugar', '¼ teaspoon salt', '2 cups cranberries', '½ cup chopped walnuts', '½ cup butter', 'melted', '2 large eggs', 'beaten', '1 teaspoon almond extract']","['Preheat the oven to 350 degrees F (175 degrees C)', 'Grease a 9-inch pie pan', 'Combine flour, sugar, and salt in a bowl', 'Add cranberries and walnuts, and toss to coat', 'Stir in melted butter, beaten eggs, and almond extract', 'Spread the batter into the prepared pan', 'Bake in the preheated oven until a toothpick inserted near the center comes our clean, about 40 minutes', 'Serve warm', 'Victoria Jempty/Allrecipes']",4.7,https://www.allrecipes.com/recipe/12398/crustless-cranberry-pie/,/Desserts/Pies/Fruit Pies/Cranberry Pie Recipes/,"{'Total': 'Sugars 26g', 'Saturated': 'Fat 8g 41%', 'Cholesterol': '77mg 26%', 'Sodium': '173mg 8%', 'Dietary': 'Fiber 2g 8%', 'Protein': '5g', 'Vitamin': 'C 4mg 19%', 'Calcium': '22mg 2%', 'Iron': '1mg 7%', 'Potassium': '93mg 2%'}","Prep Time: 15 mins, Cook Time: 40 mins, Total Time: 55 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/DWWgQmt4aS4IE_lDPmt29R_zGjw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12398-crustless-cranberry-pie-VAT-hero-4x3-1-d069d10485214347b6d0e6b3d364d690.jpg
760,Baked Pineapple,10 mins,1 hrs,1 hrs 10 mins,7,7 servings,"['1 (20 ounce) can crushed pineapple', 'drained', '1 cup white sugar', '2 tablespoons cornstarch', '¼ cup cold water', '2  eggs', '1 tablespoon vanilla extract', '1 tablespoon butter', '1 teaspoon ground cinnamon']","['Preheat oven to 350 degrees F (175 degrees C)', 'Grease a 9x9 inch baking dish', 'In a mixing bowl, mix together the pineapple, sugar, cornstarch, water, eggs and vanilla', 'Pour the mixture into the prepared baking dish', 'Dot the mixture with butter and sprinkle with cinnamon', 'Bake in a preheated 350 degrees F (175 degrees C) oven for 1 hour']",4.4,https://www.allrecipes.com/recipe/18452/baked-pineapple/,/Desserts/Fruit Desserts/Pineapple Dessert Recipes/,"{'Total': 'Sugars 41g', 'Saturated': 'Fat 2g 8%', 'Cholesterol': '57mg 19%', 'Sodium': '55mg 2%', 'Dietary': 'Fiber 1g 3%', 'Protein': '2g', 'Vitamin': 'C 8mg 38%', 'Calcium': '23mg 2%', 'Iron': '1mg 3%', 'Potassium': '122mg 3%'}","Prep Time: 10 mins, Cook Time: 1 hrs, Total Time: 1 hrs 10 mins, Servings: 7, Yield: 7 servings",https://www.allrecipes.com/thmb/EcW7GQ26B2CUE9BLi58IBhyftzc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12564-ce9783c2bc40487ebf89d139eedd71c0.jpg
290,Chef John's Watermelon Agua Fresca,10 mins,,50 mins,6,1 2-quart pitcher,"['½  seedless watermelon', '2 cups cold water', '½ cup white sugar', 'or to taste', '½ cup water']","['Scoop flesh from watermelon half and transfer watermelon to a blender', 'Add 2 cups cold water', 'Place a folded towel on blender lid and blend until liquefied, about 1 minute', 'Strain through a fine mesh strainer into a large bowl to remove fibers', 'Discard fibers left in strainer', 'Skim and discard excess foam from juice if desired', 'Place sugar and 1/2 cup water into a saucepan over medium heat and stir until water is hot and sugar has dissolved', 'Turn off heat and let simple syrup cool to room temperature', 'Stir simple syrup into watermelon juice to taste', 'Pour drink into a 2-quart pitcher and refrigerate until cold, at least 30 minutes', 'To serve, fill tall glasses with ice cubes and pour agua fresca drink over ice', 'Serve with straws', '""So refreshing!""', 'Doughgirl8']",4.5,https://www.allrecipes.com/recipe/233795/chef-johns-watermelon-agua-fresca/,/Cuisine/Latin American/Mexican/,"{'Total': 'Sugars 40g', 'Saturated': 'Fat 0g 1%', 'Sodium': '7mg 0%', 'Dietary': 'Fiber 2g 5%', 'Protein': '2g', 'Vitamin': 'C 30mg 152%', 'Calcium': '29mg 2%', 'Iron': '1mg 5%', 'Potassium': '421mg 9%'}","Prep Time: 10 mins, Additional Time: 40 mins, Total Time: 50 mins, Servings: 6, Yield: 1 2-quart pitcher",https://www.allrecipes.com/thmb/j7oOe00KsFtNH2IqdwEqMC2T-do=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/agua-fresca-2000-4a133f0cd8b7452d8b3c4322c563169a.jpg
523,"Apple, Pomegranate, and Pecan Salad",20 mins,,20 mins,8,8 servings,"['½ cup pomegranate juice', '1 tablespoon balsamic vinegar', '1 teaspoon Dijon mustard', '1 teaspoon honey', '¼ cup canola oil', '⅛ teaspoon salt', '⅛ teaspoon ground black pepper', '2 medium Granny Smith apples', 'cored and chopped', '1 (5 ounce) package baby spinach', '⅔ cup pomegranate seeds', '⅓ cup candied pecans', '¼ cup crumbled feta cheese']","['Combine pomegranate juice, balsamic vinegar, Dijon, and honey in the bowl of a food processor; pulse until combined', 'Keep the blade running and slowly pour canola oil in through the food chute until smooth', 'Add salt and pepper and set dressing aside', 'Toss apples, spinach, pomegranate seeds, pecans, and feta cheese together in a large bowl', 'Drizzle dressing on top and toss until well combined']",4.5,https://www.allrecipes.com/recipe/281968/apple-pomegranate-and-pecan-salad/,/Salad/Fruit Salad Recipes/,"{'Total': 'Sugars 9g', 'Saturated': 'Fat 2g 10%', 'Cholesterol': '7mg 2%', 'Sodium': '187mg 8%', 'Dietary': 'Fiber 2g 7%', 'Protein': '4g', 'Vitamin': 'C 8mg 39%', 'Calcium': '60mg 5%', 'Iron': '1mg 4%', 'Potassium': '234mg 5%'}","Prep Time: 20 mins, Total Time: 20 mins, Servings: 8, Yield: 8 servings",https://www.allrecipes.com/thmb/BYK4Dl_1iqk219wN5P1SSBXp2xo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8921486-47b746a19d9a4f298ccb7874c01e1b74.jpg
192,Maraschino Cherry Nut Cake,30 mins,20 mins,2 hrs 20 mins,12,1 9-inch cake,"['1 (10 ounce) jar maraschino cherries', '2 ¼ cups sifted cake flour', '2 ½ teaspoons baking powder', '½ teaspoon salt', 'divided', '½ cup shortening', '1 ⅓ cups white sugar', '3  egg whites', 'room temperature', '⅔ cup milk', 'room temperature', '½ cup chopped pecans', '¾ cup butter', 'room temperature', ""6 cups sifted confectioners' sugar"", 'divided', '⅓ cup milk', '6 drops red food coloring', '1 ½ teaspoons vanilla extract', '12  maraschino cherries', 'with stems']","['Preheat the oven to 350 degrees F (175 degrees C)', 'Grease and lightly flour two 8- or 9-inch round cake pans or one 9x13-inch cake pan', 'Reserve 1/4 cup maraschino cherry juice', 'Coarsely chop cherries to make 1/2 cup', 'Set aside', 'Sift cake flour, baking powder, and 1/4 teaspoon salt and set aside', 'Beat shortening in a large bowl with an electric mixer on medium-high speed for 30 seconds', 'Add white sugar and beat until well combined', 'Add egg whites, one at a time, beating well after each', 'Combine 2/3 cup milk and reserved 1/4 cup cherry juice', 'Add the flour and milk mixture alternately to the shortening mixture, beating on low speed after each addition until just combined', 'Stir in the chopped cherries and nuts', 'Pour batter into prepared pans', 'Bake in the preheated oven until cake springs back when lightly touched with a finger or a tester comes out clean, 20 to 25 minutes for round cakes (or 30 to 35 minutes for a 9x13 inch pan)', 'Cool cakes in pans on a wire rack for 10 minutes, then invert onto a wire rack to cool completely', 'To make frosting: Beat butter in a large bowl until fluffy', ""Gradually add 3 cups sifted confectioners' sugar; beat well"", 'Slowly beat in 1/3 cup milk, vanilla, and remaining 1/4 teaspoon salt', ""Gradually beat in the remaining 3 cups sifted confectioners' sugar"", 'Beat in additional milk (1 to 2 tablespoons) if needed, to make the frosting spreading consistency', 'If desired, tint the frosting pink by adding 6 drops red food coloring', 'Once the cake is completely cool, frost with butter frosting and decorate with maraschino cherries with stems']",3.9,https://www.allrecipes.com/recipe/7330/maraschino-cherry-nut-cake/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"{'Total': 'Sugars 82g', 'Saturated': 'Fat 10g 50%', 'Cholesterol': '32mg 11%', 'Sodium': '304mg 13%', 'Dietary': 'Fiber 1g 4%', 'Protein': '4g', 'Vitamin': 'C 0mg 1%', 'Calcium': '97mg 7%', 'Iron': '2mg 13%', 'Potassium': '135mg 3%'}","Prep Time: 30 mins, Cook Time: 20 mins, Additional Time: 1 hrs 30 mins, Total Time: 2 hrs 20 mins, Servings: 12, Yield: 1 9-inch cake",https://www.allrecipes.com/thmb/to1c9zdiZGyjuxXly2EcbhCLbeA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/801910-f61c9a94d75544dc8b477c66f123f51e.jpg
289,Watermelon Fire and Ice Salsa,15 mins,,15 mins,32,4 cups,"['3 cups chopped watermelon', '½ cup chopped green bell pepper', '2 tablespoons lime juice', '2 tablespoons chopped fresh cilantro', '1 tablespoon chopped green onions', '1 tablespoon chopped jalapeno pepper', '½ teaspoon garlic salt']","['In a large bowl, combine the watermelon, green bell pepper, lime juice, cilantro, green onions, jalapeno and garlic salt', 'Mix well and serve']",4.6,https://www.allrecipes.com/recipe/20846/watermelon-fire-and-ice-salsa/,/Appetizers and Snacks/Dips and Spreads Recipes/Salsa Recipes/Watermelon Salsa Recipes/,"{'Sodium': '29mg 1%', 'Total': 'Sugars 1g', 'Dietary': 'Fiber 0g 0%', 'Protein': '0g', 'Vitamin': 'C 4mg 18%', 'Calcium': '2mg 0%', 'Iron': '0mg 1%', 'Potassium': '23mg 0%'}","Prep Time: 15 mins, Total Time: 15 mins, Servings: 32, Yield: 4 cups",https://www.allrecipes.com/thmb/Itc242nlB56Af5mz5M8tAWxXHfg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/665565-2a80c7d67cdb404db042e2f453113c3e.jpg
954,Chococonut Chip Cookies,10 mins,10 mins,20 mins,72,6 dozen,"['1 cup butter', '1 cup white sugar', '½ cup light brown sugar', '2  eggs', '1 teaspoon vanilla extract', '2 ¼ cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon salt', '2 cups semisweet chocolate chips', '2 cups flaked coconut']","['Preheat the oven to 375 degrees F (190 degrees C)', 'Beat butter, white sugar, and brown sugar together with an electric mixer in a large bowl until light and fluffy', 'Beat first egg into butter mixture', 'Beat second egg into mixture along with vanilla extract', 'Combine flour, baking soda, and salt together in a separate bowl; stir into butter mixture until just combined', 'Fold in chocolate chips and coconut', 'Drop spoonfuls of dough 2 inches apart onto ungreased cookie sheets', 'Bake in the preheated oven until edges are golden, about 8 to 10 minutes', 'Cool on the cookie sheets briefly before removing to a wire rack to cool completely']",4.7,https://www.allrecipes.com/recipe/19205/chococonut-chip-cookies/,/Desserts/Cookies/Fruit Cookie Recipes/Coconut/,"{'Total': 'Sugars 7g', 'Saturated': 'Fat 3g 15%', 'Cholesterol': '12mg 4%', 'Sodium': '77mg 3%', 'Dietary': 'Fiber 1g 2%', 'Protein': '1g', 'Calcium': '5mg 0%', 'Iron': '0mg 2%', 'Potassium': '33mg 1%'}","Prep Time: 10 mins, Cook Time: 10 mins, Total Time: 20 mins, Servings: 72, Yield: 6 dozen",https://www.allrecipes.com/thmb/hssY-4-6zBmILi5Z6FnSQUcPfgE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1478369-8e637c60e6f54101ab3c705cf97e77f0.jpg
